identifier,molecular_weight,alogp,qed_drug_likeliness,contains_sugar,np_likeness,np_classifier_pathway,np_classifier_superclass,fp_row_index,UMAP1,UMAP2
CNP0461908.0,307.21,5.18,0.65,False,-1.07,Shikimates and Phenylpropanoids,,604149,9.310975,6.426586
CNP0187177.15,234.39,2.35,0.63,False,0.61,Alkaloids,Lysine alkaloids,604167,8.403013,3.8380032
CNP0053864.1,161.23,0.21,0.63,False,0.42,Alkaloids,,604170,8.166159,5.059614
CNP0512004.0,490.55,1.75,0.46,True,2.07,Terpenoids,Steroids,604190,4.9081473,3.534284
CNP0575804.1,360.45,3.52,0.72,False,2.61,Terpenoids,Diterpenoids,604205,4.9369,3.421038
CNP0346662.2,475.61,3.67,0.58,False,-1.5,Alkaloids,Lysine alkaloids,604259,17.040266,8.350262
CNP0504191.1,765.26,14.97,0.03,False,0.32,Fatty acids,Glycerolipids,604271,11.207588,-12.500439
CNP0043279.2,399.88,4.91,0.55,False,-0.44,Polyketides,,604311,10.75078,7.949363
CNP0214960.1,330.47,4.7,0.8,False,2.23,Terpenoids,Diterpenoids,604313,5.481468,2.9072235
CNP0530977.1,510.55,3.18,0.41,False,-0.87,Alkaloids,Tyrosine alkaloids,604381,7.3478413,11.34489
CNP0552928.2,505.56,-0.12,0.3,False,2.37,Terpenoids,Sesquiterpenoids,604415,4.179635,3.8007112
CNP0451916.1,840.05,5.53,0.05,False,2.78,Unclassified,,604442,5.8509407,9.034102
CNP0540070.1,512.66,0.86,0.62,False,-0.81,Alkaloids,Lysine alkaloids,604460,10.751531,8.469069
CNP0496104.1,855.43,17.96,0.03,False,0.45,Fatty acids,Glycerolipids,604470,15.910944,3.5096745
CNP0536059.1,709.15,13.27,0.04,False,0.44,Fatty acids,Glycerolipids,604471,-5.1215205,-9.042479
CNP0506420.3,566.77,3.82,0.37,False,-1.02,Alkaloids,Lysine alkaloids,604505,17.736197,11.8617735
CNP0404516.0,468.55,3.2,0.49,False,0.32,Alkaloids,Tyrosine alkaloids,604515,8.716583,10.046065
CNP0578731.0,525.53,-6.58,0.15,False,1.26,Amino acids and Peptides,Oligopeptides,604526,9.341694,4.5676794
CNP0507560.1,362.92,6.03,0.47,False,0.94,Polyketides,,604546,7.665102,6.101188
CNP0064203.0,207.23,-2.65,0.4,True,1.79,Carbohydrates,Aminosugars and aminoglycosides,604552,7.0711875,14.454617
CNP0037900.0,336.4,3.32,0.73,False,-0.51,Alkaloids,Nicotinic acid alkaloids,604570,8.759048,9.827459
CNP0307159.0,411.5,5.96,0.4,False,-0.76,Shikimates and Phenylpropanoids,,604590,10.4861965,11.549313
CNP0282228.2,352.34,-0.26,0.43,False,1.77,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),604604,12.188469,11.0738945
CNP0597340.2,539.55,2.91,0.37,False,-0.89,Alkaloids,Lysine alkaloids,604609,17.03735,8.34907
CNP0069675.6,356.51,5.3,0.38,False,0.73,Terpenoids,Monoterpenoids,604637,11.358415,6.6428437
CNP0554524.2,737.2,14.33,0.04,False,0.33,Fatty acids,Glycerolipids,604699,8.196072,-18.911167
CNP0499529.4,419.52,5.41,0.49,False,-0.18,Terpenoids,Sesquiterpenoids,604711,9.822299,5.62302
CNP0047813.1,396.36,-1.66,0.43,False,1.36,Alkaloids,,604719,3.873192,5.834786
CNP0518040.2,779.28,15.5,0.03,False,0.32,Fatty acids,Glycerolipids,604729,11.222171,-12.517802
CNP0275564.1,318.46,5.24,0.31,False,3.25,Terpenoids,Diterpenoids,604754,6.4945464,4.0493536
CNP0116818.0,390.08,3.18,0.76,False,-0.65,Alkaloids,,604798,9.128177,6.6833286
CNP0431342.1,442.6,4.44,0.51,False,3.36,Terpenoids,Triterpenoids,604824,5.610623,4.0546746
CNP0432703.1,584.62,3.26,0.29,False,2.9,Terpenoids,Triterpenoids,604832,2.585669,3.4133196
CNP0523135.1,262.35,2.6,0.68,False,2.71,Terpenoids,Sesquiterpenoids,604859,5.813451,4.4947352
CNP0230916.2,414.41,2.59,0.53,False,2.36,Terpenoids,Diterpenoids,604868,3.1606634,4.3539257
CNP0436324.2,442.46,2.05,0.48,False,1.69,Shikimates and Phenylpropanoids,Lignans,604901,9.794576,10.599836
CNP0275519.1,208.26,1.78,0.68,False,2.35,Terpenoids,Meroterpenoids,604913,7.0924926,5.891972
CNP0432122.1,396.16,3.81,0.56,False,2.34,Terpenoids,,604926,6.7624907,2.8056912
CNP0075608.1,322.44,4.35,0.74,False,2.92,Terpenoids,Diterpenoids,604955,5.7447553,2.7530382
CNP0080476.1,414.45,3.71,0.53,False,0.75,Shikimates and Phenylpropanoids,Lignans,604957,7.514948,10.405167
CNP0172944.3,410.55,5.26,0.59,False,2.79,Terpenoids,Diterpenoids,604963,6.3998985,4.3003583
CNP0218586.1,561.59,3.34,0.45,False,1.5,Shikimates and Phenylpropanoids,,605001,7.297806,11.002438
CNP0598506.1,454.61,6.21,0.35,False,2.08,Polyketides,Phloroglucinols,605002,6.0522456,2.8520567
